,year,period,value
0,2019,12,256.974
1,2019,11,257.208
2,2019,10,257.346
3,2019,9,256.759
4,2019,8,256.558
5,2019,7,256.571
6,2019,6,256.143
7,2019,5,256.092
8,2019,4,255.548
9,2019,3,254.202
10,2019,2,252.776
11,2019,1,251.712
12,2018,12,251.233
13,2018,11,252.038
14,2018,10,252.885
15,2018,9,252.439
16,2018,8,252.146
17,2018,7,252.006
18,2018,6,251.989
19,2018,5,251.588
20,2018,4,250.546
21,2018,3,249.554
22,2018,2,248.991
23,2018,1,247.867
24,2017,12,246.524
25,2017,11,246.669
26,2017,10,246.663
27,2017,9,246.819
28,2017,8,245.519
29,2017,7,244.786
30,2017,6,244.955
31,2017,5,244.733
32,2017,4,244.524
33,2017,3,243.801
34,2017,2,243.603
35,2017,1,242.839
36,2016,12,241.432
37,2016,11,241.353
38,2016,10,241.729
39,2016,9,241.428
40,2016,8,240.849
41,2016,7,240.628
42,2016,6,241.018
43,2016,5,240.229
44,2016,4,239.261
45,2016,3,238.132
46,2016,2,237.111
47,2016,1,236.916
48,2015,12,236.525
49,2015,11,237.336
50,2015,10,237.838
51,2015,9,237.945
52,2015,8,238.316
53,2015,7,238.654
54,2015,6,238.638
55,2015,5,237.805
56,2015,4,236.599
57,2015,3,236.119
58,2015,2,234.722
59,2015,1,233.707
60,2014,12,234.812
61,2014,11,236.151
62,2014,10,237.433
63,2014,9,238.031
64,2014,8,237.852
65,2014,7,238.250
66,2014,6,238.343
67,2014,5,237.900
68,2014,4,237.072
69,2014,3,236.293
70,2014,2,234.781
71,2014,1,233.916
72,2013,12,233.049
73,2013,11,233.069
74,2013,10,233.546
75,2013,9,234.149
76,2013,8,233.877
77,2013,7,233.596
78,2013,6,233.504
79,2013,5,232.945
80,2013,4,232.531
81,2013,3,232.773
82,2013,2,232.166
83,2013,1,230.280
84,2012,12,229.601
85,2012,11,230.221
86,2012,10,231.317
87,2012,9,231.407
88,2012,8,230.379
89,2012,7,229.104
90,2012,6,229.478
91,2012,5,229.815
92,2012,4,230.085
93,2012,3,229.392
94,2012,2,227.663
95,2012,1,226.665
96,2011,12,225.672
97,2011,11,226.230
98,2011,10,226.421
99,2011,9,226.889
100,2011,8,226.545
101,2011,7,225.922
102,2011,6,225.722
103,2011,5,225.964
104,2011,4,224.906
105,2011,3,223.467
106,2011,2,221.309
107,2011,1,220.223
108,2010,12,219.179
109,2010,11,218.803
110,2010,10,218.711
111,2010,9,218.439
112,2010,8,218.312
113,2010,7,218.011
114,2010,6,217.965
115,2010,5,218.178
116,2010,4,218.009
117,2010,3,217.631
118,2010,2,216.741
119,2010,1,216.687
120,2009,12,215.949
121,2009,11,216.330
122,2009,10,216.177
123,2009,9,215.969
124,2009,8,215.834
125,2009,7,215.351
126,2009,6,215.693
127,2009,5,213.856
128,2009,4,213.240
129,2009,3,212.709
130,2009,2,212.193
131,2009,1,211.143
132,2008,12,210.228
133,2008,11,212.425
134,2008,10,216.573
135,2008,9,218.783
136,2008,8,219.086
137,2008,7,219.964
138,2008,6,218.815
139,2008,5,216.632
140,2008,4,214.823
141,2008,3,213.528
142,2008,2,211.693
143,2008,1,211.080
144,2007,12,210.036
145,2007,11,210.177
146,2007,10,208.936
147,2007,9,208.490
148,2007,8,207.917
149,2007,7,208.299
150,2007,6,208.352
151,2007,5,207.949
152,2007,4,206.686
153,2007,3,205.352
154,2007,2,203.499
155,2007,1,202.416
156,2006,12,201.8
157,2006,11,201.5
158,2006,10,201.8
159,2006,9,202.9
160,2006,8,203.9
161,2006,7,203.5
162,2006,6,202.9
163,2006,5,202.5
164,2006,4,201.5
165,2006,3,199.8
166,2006,2,198.7
167,2006,1,198.3
168,2005,12,196.8
169,2005,11,197.6
170,2005,10,199.2
171,2005,9,198.8
172,2005,8,196.4
173,2005,7,195.4
174,2005,6,194.5
175,2005,5,194.4
176,2005,4,194.6
177,2005,3,193.3
178,2005,2,191.8
