DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2008-01-01,2.5,,787.0,-0.1,-25.0
2008-01-02,0.0,,762.0,1.5,-14.7
2008-01-03,0.0,,711.0,3.1,-14.4
2008-01-04,5.1,,711.0,-0.5,-7.1
2008-01-05,15.2,,1067.0,1.9,-7.1
2008-01-06,20.3,,1168.0,-2.0,-16.5
2008-01-07,15.2,,1067.0,-3.0,-19.6
2008-01-08,5.1,,1092.0,-5.8,-17.8
2008-01-09,2.5,,1321.0,-4.3,-10.4
2008-01-10,15.2,,1168.0,-0.4,-10.0
2008-01-11,2.5,,1219.0,-1.5,-7.8
2008-01-12,5.1,,1143.0,-2.6,-8.9
2008-01-13,0.0,,1118.0,-2.0,-14.0
2008-01-14,0.0,,1067.0,4.9,-15.9
2008-01-15,0.0,,1041.0,1.6,-19.9
2008-01-16,0.0,,1016.0,-13.0,-24.8
2008-01-17,0.0,,965.0,-8.1,-17.9
2008-01-18,0.0,,965.0,-7.1,-11.5
2008-01-19,2.5,,940.0,-1.0,-13.6
2008-01-20,0.0,,940.0,-4.3,-18.1
2008-01-21,5.1,,1041.0,-4.9,-12.6
2008-01-22,2.5,,1016.0,-3.1,-15.5
2008-01-23,0.0,,991.0,-0.1,-19.0
2008-01-24,0.0,,1041.0,-4.5,-16.8
2008-01-25,5.1,,1016.0,-2.1,-16.5
2008-01-26,0.0,,1016.0,-0.7,-17.4
2008-01-27,5.1,,991.0,-4.3,-14.3
2008-01-28,12.7,,1168.0,-2.2,-15.4
2008-01-29,10.2,,1321.0,-7.3,-16.3
2008-01-30,15.2,,1397.0,-9.1,-16.3
2008-01-31,5.1,,1346.0,-5.1,-22.1
2008-02-01,7.6,,1473.0,-3.9,-13.7
2008-02-02,7.6,,1422.0,-6.4,-18.0
2008-02-03,22.9,,1702.0,-3.1,-12.2
2008-02-04,0.0,,1600.0,-6.4,-14.5
2008-02-05,0.0,,1524.0,-6.0,-15.0
2008-02-06,5.1,,1549.0,-4.1,-11.8
2008-02-07,12.7,,1575.0,-0.6,-10.7
2008-02-08,0.0,,1499.0,-2.4,-10.2
2008-02-09,0.0,,1422.0,3.1,-10.5
2008-02-10,0.0,,1397.0,7.4,-11.1
2008-02-11,0.0,,1372.0,1.7,-5.2
2008-02-12,0.0,,1346.0,2.8,-8.2
2008-02-13,5.1,,1397.0,7.0,-9.2
2008-02-14,0.0,,1397.0,-6.1,-21.3
2008-02-15,0.0,,1372.0,4.7,-21.4
2008-02-16,0.0,,1321.0,1.5,-13.0
2008-02-17,0.0,,1295.0,-3.3,-7.9
2008-02-18,0.0,,1295.0,4.8,-11.1
2008-02-19,0.0,,1270.0,6.7,-12.5
2008-02-20,2.5,,1295.0,0.4,-9.8
2008-02-21,0.0,,1270.0,0.6,-12.7
2008-02-22,15.2,,1473.0,0.4,-7.4
2008-02-23,0.0,,1397.0,1.6,-7.1
2008-02-24,15.2,,1549.0,2.1,-5.1
2008-02-25,5.1,,1524.0,1.7,-4.9
2008-02-26,0.0,,1499.0,6.6,-14.2
2008-02-27,0.0,,1448.0,10.2,-9.3
2008-02-28,0.0,,1397.0,7.5,-8.8
2008-02-29,0.0,,1372.0,8.0,-10.6
